[2025-11-28 09:37:05] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:37:05] INFO: 📊 数据库类型: json
[2025-11-28 09:37:05] INFO: 🔐 环境: development
[2025-11-28 09:37:23] WARN: 登录失败: 用户名或密码错误 (admin)
[2025-11-28 09:37:23] WARN: POST /login - 401 (109ms)
[2025-11-28 09:37:28] INFO: 用户登录成功: admin
[2025-11-28 09:37:28] INFO: POST /login - 200 (80ms)
[2025-11-28 09:37:29] INFO: GET / - 200 (4ms)
[2025-11-28 09:37:30] INFO: GET / - 304 (2ms)
[2025-11-28 09:37:33] INFO: GET / - 304 (2ms)
[2025-11-28 09:37:38] INFO: 创建文件夹: test (所有者: admin)
[2025-11-28 09:37:38] INFO: POST / - 201 (8ms)
[2025-11-28 09:37:38] INFO: GET / - 200 (2ms)
[2025-11-28 09:37:39] INFO: GET / - 304 (5ms)
[2025-11-28 09:37:39] INFO: GET /1/files - 200 (8ms)
[2025-11-28 09:37:39] INFO: GET /1/subfolders - 200 (11ms)
[2025-11-28 09:37:39] INFO: GET / - 304 (6ms)
[2025-11-28 09:37:45] INFO: 创建文件夹: test (所有者: admin)
[2025-11-28 09:37:45] INFO: POST / - 201 (7ms)
[2025-11-28 09:37:45] INFO: GET /1/subfolders - 200 (3ms)
[2025-11-28 09:37:46] INFO: GET / - 200 (6ms)
[2025-11-28 09:37:46] INFO: GET /2/files - 200 (7ms)
[2025-11-28 09:37:47] INFO: GET /2/subfolders - 200 (7ms)
[2025-11-28 09:37:47] INFO: GET / - 304 (3ms)
[2025-11-28 09:37:52] INFO: GET / - 304 (4ms)
[2025-11-28 09:37:52] INFO: GET /2/files - 304 (6ms)
[2025-11-28 09:37:52] INFO: GET /2/subfolders - 304 (7ms)
[2025-11-28 09:37:52] INFO: GET / - 304 (4ms)
[2025-11-28 09:37:52] INFO: GET / - 304 (3ms)
[2025-11-28 09:37:54] INFO: 上传文件: TNW-2023040104.jpg (文件夹: test)
[2025-11-28 09:37:54] INFO: POST /2/upload - 200 (51ms)
[2025-11-28 09:37:54] INFO: GET /2/files - 200 (3ms)
[2025-11-28 09:39:12] INFO: GET / - 200 (4ms)
[2025-11-28 09:39:12] INFO: GET / - 200 (8ms)
[2025-11-28 09:39:12] INFO: GET / - 200 (3ms)
[2025-11-28 09:39:12] INFO: GET /2/files - 200 (8ms)
[2025-11-28 09:39:12] INFO: GET /2/subfolders - 200 (12ms)
[2025-11-28 09:39:22] INFO: GET / - 200 (8ms)
[2025-11-28 09:39:22] INFO: GET / - 200 (8ms)
[2025-11-28 09:39:22] INFO: GET / - 200 (11ms)
[2025-11-28 09:39:22] INFO: GET /2/subfolders - 200 (17ms)
[2025-11-28 09:39:22] INFO: GET /2/files - 200 (21ms)
[2025-11-28 09:39:29] INFO: GET / - 304 (2ms)
[2025-11-28 09:39:29] INFO: GET / - 304 (3ms)
[2025-11-28 09:39:29] INFO: GET /2/files - 304 (7ms)
[2025-11-28 09:39:29] INFO: GET /2/subfolders - 304 (9ms)
[2025-11-28 09:39:29] INFO: GET / - 304 (3ms)
[2025-11-28 09:39:30] INFO: GET / - 304 (4ms)
[2025-11-28 09:39:30] INFO: GET / - 304 (2ms)
[2025-11-28 09:39:30] INFO: GET /2/files - 304 (7ms)
[2025-11-28 09:39:30] INFO: GET /2/subfolders - 304 (6ms)
[2025-11-28 09:39:31] INFO: GET / - 304 (3ms)
[2025-11-28 09:39:54] INFO: GET / - 304 (4ms)
[2025-11-28 09:39:54] INFO: GET /2/files - 304 (7ms)
[2025-11-28 09:39:55] INFO: GET /2/subfolders - 304 (9ms)
[2025-11-28 09:39:55] INFO: GET / - 304 (3ms)
[2025-11-28 09:39:56] INFO: GET / - 304 (2ms)
[2025-11-28 09:40:50] INFO: GET / - 304 (6ms)
[2025-11-28 09:40:50] INFO: GET /2/files - 304 (9ms)
